DATE,DGS1
2004-10-01,2.2280000000000000
2004-11-01,2.5000000000000000
2004-12-01,2.6704545454545455
2005-01-01,2.8605000000000000
2005-02-01,3.0294736842105263
2005-03-01,3.3022727272727273
2005-04-01,3.3166666666666667
2005-05-01,3.3309523809523810
2005-06-01,3.3631818181818182
2005-07-01,3.6410000000000000
2005-08-01,3.8721739130434783
2005-09-01,3.8452380952380952
2005-10-01,4.1755000000000000
2005-11-01,4.3340000000000000
2005-12-01,4.3528571428571429
2006-01-01,4.4450000000000000
2006-02-01,4.6847368421052632
2006-03-01,4.7734782608695652
2006-04-01,4.8973684210526316
2006-05-01,4.9950000000000000
2006-06-01,5.1550000000000000
2006-07-01,5.2175000000000000
2006-08-01,5.0826086956521739
2006-09-01,4.9745000000000000
2006-10-01,5.0100000000000000
2006-11-01,5.0109523809523810
2006-12-01,4.9415000000000000
2007-01-01,5.0571428571428571
2007-02-01,5.0536842105263158
2007-03-01,4.9204545454545455
2007-04-01,4.9323809523809524
2007-05-01,4.9090909090909091
2007-06-01,4.9623809523809524
2007-07-01,4.9642857142857143
2007-08-01,4.4721739130434783
2007-09-01,4.1368421052631579
2007-10-01,4.0968181818181818
2007-11-01,3.4990000000000000
2007-12-01,3.2630000000000000
2008-01-01,2.7114285714285714
2008-02-01,2.0535000000000000
2008-03-01,1.5440000000000000
2008-04-01,1.7381818181818182
2008-05-01,2.0557142857142857
2008-06-01,2.4195238095238095
2008-07-01,2.2818181818181818
2008-08-01,2.1771428571428571
2008-09-01,1.9128571428571429
2008-10-01,1.4204545454545455
2008-11-01,1.0666666666666667
2008-12-01,0.49454545454545454545
2009-01-01,0.44450000000000000000
2009-02-01,0.62263157894736842105
2009-03-01,0.64409090909090909091
2009-04-01,0.54761904761904761905
2009-05-01,0.50150000000000000000
2009-06-01,0.51363636363636363636
2009-07-01,0.47863636363636363636
2009-08-01,0.45904761904761904762
2009-09-01,0.40476190476190476190
2009-10-01,0.37476190476190476190
2009-11-01,0.31315789473684210526
2009-12-01,0.37136363636363636364
2010-01-01,0.34578947368421052632
2010-02-01,0.34578947368421052632
2010-03-01,0.39565217391304347826
2010-04-01,0.44500000000000000000
2010-05-01,0.37100000000000000000
2010-06-01,0.31818181818181818182
2010-07-01,0.29142857142857142857
2010-08-01,0.25909090909090909091
2010-09-01,0.25666666666666666667
2010-10-01,0.22800000000000000000
2010-11-01,0.25200000000000000000
2010-12-01,0.29409090909090909091
2011-01-01,0.27350000000000000000
2011-02-01,0.28631578947368421053
2011-03-01,0.25913043478260869565
2011-04-01,0.24650000000000000000
2011-05-01,0.18809523809523809524
2011-06-01,0.18090909090909090909
2011-07-01,0.18500000000000000000
2011-08-01,0.11478260869565217391
2011-09-01,0.10476190476190476190
2011-10-01,0.11450000000000000000
2011-11-01,0.11200000000000000000
2011-12-01,0.11523809523809523810
2012-01-01,0.11500000000000000000
2012-02-01,0.16100000000000000000
2012-03-01,0.19000000000000000000
2012-04-01,0.18333333333333333333
2012-05-01,0.19181818181818181818
2012-06-01,0.18904761904761904762
2012-07-01,0.18571428571428571429
2012-08-01,0.18347826086956521739
2012-09-01,0.17578947368421052632
2012-10-01,0.17952380952380952381
2012-11-01,0.17850000000000000000
2012-12-01,0.15850000000000000000
2013-01-01,0.14523809523809523810
2013-02-01,0.15736842105263157895
2013-03-01,0.14750000000000000000
2013-04-01,0.12454545454545454545
2013-05-01,0.11863636363636363636
2013-06-01,0.14200000000000000000
2013-07-01,0.12181818181818181818
2013-08-01,0.12681818181818181818
2013-09-01,0.11850000000000000000
2013-10-01,0.12136363636363636364
2013-11-01,0.12157894736842105263
2013-12-01,0.13285714285714285714
2014-01-01,0.11619047619047619048
2014-02-01,0.11684210526315789474
2014-03-01,0.12809523809523809524
2014-04-01,0.10761904761904761905
2014-05-01,0.09666666666666666667
2014-06-01,0.10476190476190476190
2014-07-01,0.11136363636363636364
2014-08-01,0.10714285714285714286
2014-09-01,0.10952380952380952381
2014-10-01,0.10454545454545454545
2014-11-01,0.13444444444444444444
2014-12-01,0.21454545454545454545
2015-01-01,0.19550000000000000000
2015-02-01,0.22421052631578947368
2015-03-01,0.25363636363636363636
2015-04-01,0.23363636363636363636
2015-05-01,0.24100000000000000000
2015-06-01,0.27545454545454545455
2015-07-01,0.29681818181818181818
2015-08-01,0.37571428571428571429
2015-09-01,0.37333333333333333333
2015-10-01,0.26333333333333333333
2015-11-01,0.47684210526315789474
2015-12-01,0.65363636363636363636
2016-01-01,0.54315789473684210526
2016-02-01,0.53400000000000000000
2016-03-01,0.65636363636363636364
2016-04-01,0.55571428571428571429
2016-05-01,0.59142857142857142857
2016-06-01,0.55227272727272727273
2016-07-01,0.51350000000000000000
2016-08-01,0.56826086956521739130
2016-09-01,0.59333333333333333333
2016-10-01,0.65950000000000000000
2016-11-01,0.73600000000000000000
2016-12-01,0.86619047619047619048
2017-01-01,0.82550000000000000000
2017-02-01,0.82052631578947368421
2017-03-01,1.01043478260869565217
2017-04-01,1.04210526315789473684
2017-05-01,1.1227272727272727
2017-06-01,1.2009090909090909
2017-07-01,1.2235000000000000
2017-08-01,1.2291304347826087
2017-09-01,1.2800000000000000
2017-10-01,1.3976190476190476
2017-11-01,1.5600000000000000
2017-12-01,1.7005000000000000
2018-01-01,1.8028571428571429
2018-02-01,1.9636842105263158
2018-03-01,2.0628571428571429
2018-04-01,2.1538095238095238
2018-05-01,2.2736363636363636
2018-06-01,2.3280952380952381
2018-07-01,2.3876190476190476
2018-08-01,2.4456521739130435
2018-09-01,2.5578947368421053
