DATE,MABMM301USM189S
2020-03-01,15988600000000.0
2020-04-01,17002500000000.0
2020-05-01,17835200000000.0
2020-06-01,18129300000000.0
2020-07-01,18277800000000.0
2020-08-01,18357400000000.0
2020-09-01,18575200000000.0
2020-10-01,18735700000000.0
2020-11-01,18969800000000.0
2020-12-01,19124800000000.0
2021-01-01,19372600000000.0
2021-02-01,19615500000000.0
2021-03-01,19853700000000.0
2021-04-01,20110500000000.0
2021-05-01,20417700000000.0
2021-06-01,20458900000000.0
2021-07-01,20620000000000.0
2021-08-01,20852300000000.0
2021-09-01,20991300000000.0
2021-10-01,21142000000000.0
2021-11-01,21343300000000.0
2021-12-01,21483300000000.0
2022-01-01,21659200000000.0
2022-02-01,21750300000000.0
2022-03-01,21809700000000.0
